,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
130,54-53,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1
131,51-53,19044.251,5500,0,2,0,0,0,2,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,23,2804.15,2189.52,7459.03,8715.56,2047.37,4032.59,2688.31,8811.31
132,53-51,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,1028.44,1440.06,2714.35,3887.83,888.35,2436.42,1255.83,4815.22
133,51-52,2933.311,4981.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
134,52-51,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1
135,50-51,22151.462,4981.1,0,0,2,0,0,1,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,2,0,0,2,0,0,0,22,2804.15,2189.52,7459.03,8715.56,2047.37,4032.59,2688.31,8811.31
136,51-50,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,1028.44,1440.06,2714.35,3887.83,888.35,2436.42,1255.83,4815.22
137,37-50,46424.415,1600,1,7,4,1,4,13,16,16,0,0,0,0,0,0,0,0,1,1,0,1,1,3,7,9,3,6,6,0,6,6,0,1,1,0,0,0,45,554.25,554.9,761.38,907.9,214.55,423.09,438.95,1845.32
138,50-37,,,,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,740.33,375.21,770.63,916.69,82.56,463.22,149.96,1052.92
139,48-49,113411.71,6249.8,0,2,8,0,0,6,9,48,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,7,0,0,4,0,4,0,117,4648.61,4114.97,7944.79,10432.64,3332.72,4904.11,3660.91,9028.49
140,49-48,,,,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109,360.94,732.17,1147.91,2084.69,291.31,1392.41,512.23,1777.46
141,29-48,46382.91,13901.7,1,15,49,0,4,1,1,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,2,0,0,7,0,0,0,0,0,0,35,1052.66,561.16,793.38,3528.74,591.67,632.38,1252.32,8630.98
142,48-29,,,,16,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,772.02,384.9,554.46,2704.07,573.17,550.18,936.64,6790.2
143,47-48,110918.258,5150,0,1,0,0,1,5,13,53,1,1,25,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,1,0,0,0,89,2858.52,4186.93,6789.37,8126.89,2406.35,4485.75,4927.27,6692.95
144,48-47,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,2408.4,3775.41,5484.92,7317.32,2778.58,4978.27,4848.93,6807.78
145,74-73,6942.749,1743.9,1,0,0,0,3,3,3,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
146,73-74,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1
147,73-75,65298.626,4200,1,7,4,0,3,1,1,61,0,2,7,0,0,0,2,0,0,10,0,0,10,0,0,15,0,0,19,0,0,0,0,0,0,0,1,1,50,2499.12,4040.9,8432.04,10768.26,2860.37,6680.03,8137.4,8332.78
148,75-73,,,,13,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,2120.12,3849.08,6733.99,8652.06,2665.57,6780.07,8072.1,9696.5
149,75-76,51568.926,4550,1,6,15,0,3,2,3,20,0,3,7,0,0,0,2,0,0,1,0,0,12,0,0,3,0,0,19,0,0,0,0,0,0,1,1,1,39,2499.12,4040.9,8432.04,10768.26,2860.37,6680.03,8137.4,8332.78
150,76-75,,,,9,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,2120.12,3849.08,6733.99,8652.06,2665.57,6780.07,8072.1,9696.5
151,76-80,99377.629,3400,1,20,16,0,2,2,4,46,1,6,16,0,0,1,8,0,0,10,0,0,17,4,7,17,0,0,23,0,0,2,0,0,1,0,0,0,145,5751.39,3746.8,8113.14,8168.31,4939.99,7775.95,4228.87,7653.67
152,80-76,,,,23,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,420.79,938.3,814.17,1553.22,346.33,1345.25,352.15,873.5
153,79-80,5989.363,2153.6,1,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
154,80-79,,,,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1
155,49-79,40387.738,2153.6,1,4,7,0,4,7,13,13,0,0,0,0,0,1,2,0,0,0,0,2,2,0,1,1,0,1,3,0,1,1,0,0,0,0,0,0,34,563.11,365.12,746.81,1090.22,287.55,346.6,698.17,1630.17
156,79-49,,,,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,659.22,562.64,1146.97,1329.05,510.52,419.82,960.08,2272.45
157,49-36,21124.972,2064.4,1,3,3,1,4,6,10,10,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,4,4,0,0,0,0,0,0,18,628.86,494.64,1087.83,1515.63,539.5,471.86,1367.73,2543.97
158,36-49,,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,622.15,384.53,879.34,1188.83,360.97,397.7,1145.31,1981.71
159,35-36,1604.313,2054.2,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
160,36-35,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1
161,34-36,25350.237,2054.2,1,4,1,1,4,6,8,8,0,0,0,0,0,0,0,0,1,1,0,0,0,1,2,2,0,0,0,0,0,5,0,0,0,0,0,0,19,622.15,384.53,879.34,1188.83,360.97,397.7,1145.31,1981.71
162,36-34,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,628.86,494.64,1087.83,1515.63,539.5,471.86,1367.73,2543.97
163,48-76,46965.092,13800,1,39,41,1,4,2,4,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0,0,6,0,0,1,0,0,0,34,889.58,526.56,869.51,3432.33,780.37,780.69,1303.81,8022.61
164,76-48,,,,16,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,561.1,439.85,413.7,2171.65,363.92,451.51,955.66,4524.93
165,79-85,8384.694,2900,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
166,85-79,,,,3,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1
167,84-85,2423.111,2900,1,1,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1
168,85-84,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1
169,85-50,40431.518,2904.3,1,4,6,1,4,12,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,1,0,5,5,0,1,1,0,0,0,32,132.9,92.56,176.84,258.44,37.6,131.09,46.79,433.26
170,50-85,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,672.41,502.56,854.14,915.45,200.11,403.56,331.47,1647.49
171,59-60,12387.984,7000,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,867.57,848.6,1032.79,2490.37,824,1754.87,924.97,1739.3
172,60-59,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,1396.06,1021.52,1806.06,3557.12,623.41,1667.52,871.74,2058.61
173,60-61,1539.368,7000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
174,61-60,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1
175,60-94,30085.027,7000,0,6,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,22,867.57,848.6,1032.79,2490.37,824,1754.87,924.97,1739.3
176,94-60,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,1396.06,1021.52,1806.06,3557.12,623.41,1667.52,871.74,2058.61
177,94-95,3475.321,7000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
178,95-94,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1
179,95-91,31491.251,1600,1,3,4,0,3,7,7,7,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,41,2401.6,1750.28,6789.02,6975.6,883.97,3363.62,1686.83,6395.17
180,91-95,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,3784.33,3768.69,9045.09,8739.86,3933.18,6094.45,5900.75,12522.92
181,90-91,1042.191,1140.3,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
182,91-90,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1
183,84-91,85452.349,1140.3,1,8,10,0,3,19,19,19,0,0,0,0,6,6,6,0,0,0,0,0,0,6,6,6,0,0,0,0,5,5,0,1,1,2,0,0,115,3784.33,3768.69,9045.09,8739.86,3933.18,6094.45,5900.75,12522.92
184,91-84,,,,6,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,2401.6,1750.28,6789.02,6975.6,883.97,3363.62,1686.83,6395.17
185,84-83,7432.591,2900,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
186,83-84,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1
187,82-83,1919.353,2900,1,0,0,1,4,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,2,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
188,83-82,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1
189,81-82,8646.534,3000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
190,82-81,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1
191,80-81,5013.949,2975.1,1,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
192,81-80,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1
193,83-86,36702.186,1307.2,1,2,2,0,3,7,7,7,0,0,0,0,2,2,2,0,0,0,1,1,1,1,1,1,0,0,0,0,2,2,1,1,1,0,0,0,53,3115.55,2551.23,8019.27,10851.33,1807.35,4738.36,2915.42,10405.07
194,86-83,,,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,1911.97,2218.97,4427.17,7613.45,1816.73,4341.88,3184.6,11004.94
195,86-87,8156.882,1300,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
196,87-86,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1
197,86-88,32295.372,1198,1,1,1,0,3,14,14,14,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,41,3115.55,2551.23,8019.27,10851.33,1807.35,4738.36,2915.42,10405.07
198,88-86,,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,1911.97,2218.97,4427.17,7613.45,1816.73,4341.88,3184.6,11004.94
199,88-89,1858.689,1300,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
200,89-88,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1
201,88-92,16404.794,1300,1,1,2,0,3,2,2,2,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,19,3115.55,2551.23,8019.27,10851.33,1807.35,4738.36,2915.42,10405.07
202,92-88,,,,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,1911.97,2218.97,4427.17,7613.45,1816.73,4341.88,3184.6,11004.94
203,92-93,1063.008,1300,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
204,93-92,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1
205,92-96,31434.214,1000,1,1,7,0,3,5,5,5,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,38,3115.55,2551.23,8019.27,10851.33,1807.35,4738.36,2915.42,10405.07
206,96-92,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,1911.97,2218.97,4427.17,7613.45,1816.73,4341.88,3184.6,11004.94
207,96-95,7394.875,7000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
208,95-96,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1
209,96-97,4177.058,7000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
210,97-96,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1
211,62-63,8270.434,4807.7,1,3,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
212,63-62,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1
213,63-66,67406.945,1300,1,1,0,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,45,3076.64,4557.23,8450.27,8286.76,2324.95,5025.43,3234.1,3694.93
214,66-63,,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,1761.37,2528.23,4698.25,3788,3037.01,3780.46,3688.95,3065.7
215,66-67,8157.608,1300,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
216,67-66,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1
217,66-70,15110.13,1300,1,1,0,0,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,3076.64,4557.23,8450.27,8286.76,2324.95,5025.43,3234.1,3694.93
218,70-66,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,1761.37,2528.23,4698.25,3788,3037.01,3780.46,3688.95,3065.7
219,69-70,7466.682,2921.2,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
220,70-69,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1
221,70-71,5112.682,1300,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
222,71-70,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1
223,71-72,7453.384,3568.5,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
224,72-71,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1
225,72-73,5387.388,2961.2,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
226,73-72,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1
227,71-100,40311.287,1105.5,1,5,2,0,3,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,1145.87,1556.34,3485.46,4117.32,1059.53,2078.91,2091.76,2743.7
228,100-71,,,,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,982.87,1200.22,3223.81,3746.49,1364.04,2266.25,2214.75,3274.65
229,63-98,42863.368,3300,1,2,1,0,3,5,9,9,0,0,0,1,0,0,2,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,37,840.45,704.01,1489.66,3732.57,1406.59,1841.33,3393.86,3078.62
230,98-63,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,1127.41,935.3,1857.03,4632.37,2011,2118.78,3257.64,2439.35
231,98-101,80294.503,1432.5,1,6,3,0,3,11,12,12,0,0,0,0,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,60,826.39,882.59,1226.52,1875.82,506.95,2597.18,1001.15,2282.09
232,101-98,,,,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,3092.75,3408.48,6271.85,7987.87,3380.67,4375.28,4458.4,5896.31
233,101-100,2251.788,1251.2,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
234,100-101,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1
235,100-105,8770.32,3685,1,2,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
236,105-100,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1
237,105-108,49026.549,1540.8,1,4,0,0,3,13,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,0,0,0,47,1326.29,1089.9,2187.25,3097.27,1417,1860.09,1631.82,4147.23
238,108-105,,,,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,1308.88,907.52,2719.93,3362.7,948.46,1596.96,1181.92,3210.72
239,108-107,6106.16,1540.8,0,4,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
240,107-108,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1
241,75-107,44675.972,7285.9,0,4,2,0,0,1,2,19,0,0,5,0,0,0,2,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,2,0,0,0,48,950.87,888.54,2254.38,3283.3,1372.07,1571.16,1430.72,3301.53
242,107-75,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,1202.71,696.97,2115.47,2912.28,618.06,1355.73,529.12,1865.55
243,106-107,5422.152,7285.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
244,107-106,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1
245,76-77,31749.239,13850,1,17,31,1,4,0,0,13,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0,0,13,899.18,507.92,710.12,3220.05,568.82,649.56,1178.43,7596.01
246,77-76,,,,13,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,585.53,348.34,503.5,2365.51,490.51,531.51,867.21,6098.58
247,77-78,10181.622,13850,1,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
248,78-77,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1
249,77-134,46605.278,13850,1,26,38,1,4,0,3,27,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,7,0,0,0,0,0,0,40,899.18,507.92,710.12,3220.05,568.82,649.56,1178.43,7596.01
250,134-77,,,,20,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,585.53,348.34,503.5,2365.51,490.51,531.51,867.21,6098.58
251,81-135,61574.233,2252.5,1,5,17,1,4,8,8,8,0,0,0,0,0,0,0,0,1,1,1,1,1,1,12,12,0,0,6,0,0,7,0,0,0,0,0,0,48,1002.03,559.6,1143.09,1718.87,170.74,758.44,308.26,1243.74
252,135-81,,,,9,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,724.78,563.3,1123.33,1489.94,737.29,577.47,1404.47,2589.69
253,82-141,62119.256,2555.2,1,13,17,1,4,12,15,15,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,1,0,10,10,0,0,2,0,0,0,57,774.95,818.94,1004.86,1192.25,277.41,532.15,489.42,2370.42
254,141-82,,,,12,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,1068.97,396.4,1179.61,1048.84,139.94,415.71,257.89,1340.19
255,97-144,25301.239,7000,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,24,1144.09,1235.33,1896.95,5157.61,996.17,2644.01,1484.24,2602.71
256,144-97,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,2053.08,1983.44,2932.02,6797.09,1301.07,2986.32,1955.59,3437.09
257,144-145,3596.428,7000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,1,0,0,7,1144.09,1235.33,1896.95,5157.61,996.17,2644.01,1484.24,2602.71
258,145-144,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,2053.08,1983.44,2932.02,6797.09,1301.07,2986.32,1955.59,3437.09
259,145-146,13936.813,1944.6,1,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,1,1,0,0,1,0,0,0,9,1144.09,1235.33,1896.95,5157.61,996.17,2644.01,1484.24,2602.71
260,146-145,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2053.08,1983.44,2932.02,6797.09,1301.07,2986.32,1955.59,3437.09
261,146-149,18185.532,2958.3,1,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,16,1144.09,1235.33,1896.95,5157.61,996.17,2644.01,1484.24,2602.71
262,149-146,,,,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,2053.08,1983.44,2932.02,6797.09,1301.07,2986.32,1955.59,3437.09
263,146-147,5581.756,1944.6,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
264,147-146,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1
265,147-148,18272.437,1669.1,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
266,148-147,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1
267,149-150,8403.419,3500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
